序号,属性,进港航班号,出港航班号,计划到达,计划起飞,机位型,旅客人数,到达人数,出发人数,中转人数,,
1,0,HU6379,HU7759,0.33,0.38,1,126,109,126,16,,0
4,0,MU252,MU5314,0.33,0.4,1,126,109,126,16,,1
5,0,HU7011,HU7853,0.33,0.4,1,126,109,126,16,,2
10,0,ZH9460,ZH9859,0.33,0.41,1,126,109,126,16,,3
2,0,HU7001,HU7045,0.34,0.39,1,126,109,126,16,,4
8,0,AQ1266,AQ1033,0.34,0.41,1,126,109,126,16,,5
3,0,CZ6773,CZ6784,0.35,0.39,1,153,133,153,20,,6
29,0,CZ3330,CZ3333,0.35,0.45,1,85,74,85,11,,7
49,1,CZ320,CZ3097,0.35,0.48,3,209,182,209,27,,8
6,0,PN6253,PN6381,0.36,0.4,1,129,112,129,17,,9
7,0,MF8305,MF8306,0.36,0.4,1,156,136,156,20,,10
9,0,ZH9966,ZH9823,0.36,0.41,1,126,109,126,16,,11
23,0,CZ3891,CZ3705,0.36,0.44,1,126,109,126,16,,12
35,0,CZ3144,CZ3763,0.36,0.45,1,126,109,126,16,,13
39,0,CZ3354,CZ5445,0.36,0.46,1,126,109,126,16,,14
108,0,CZ3230,CZ3511,0.36,0.55,1,156,136,156,20,,15
217,0,CZ5488,CZ5341,0.36,0.7,1,133,115,133,17,,16
11,0,CZ3494,CZ3319,0.37,0.41,1,85,74,85,11,,17
12,1,KA782,KA781,0.37,0.41,3,255,222,255,33,,18
13,0,CZ8708,CZ3535,0.37,0.42,1,126,109,126,16,,19
14,0,CZ6731,CZ6742,0.37,0.42,1,201,175,201,26,,20
15,0,CZ3295,CZ3296,0.37,0.42,1,126,109,126,16,,21
21,0,CZ6775,CZ6776,0.37,0.43,1,153,133,153,20,,22
16,0,3U8741,3U8793,0.38,0.42,1,201,175,201,26,,23
17,0,HU7003,HU7827,0.39,0.43,1,126,109,126,16,,24
18,1,AK112,AK113,0.39,0.43,1,129,112,129,17,,25
19,0,CZ3382,CZ3380,0.39,0.43,1,153,133,153,20,,26
20,0,MU2542,MU2475,0.39,0.43,1,126,109,126,16,,27
22,0,CZ3661,CZ6411,0.39,0.43,1,126,109,126,16,,28
24,0,CZ3549,CZ3550,0.39,0.44,1,152,132,152,20,,29
27,1,TR100,TR101,0.39,0.44,3,247,214,247,32,,30
139,1,CZ3060,CZ319,0.39,0.6,3,209,182,209,27,,31
25,0,CZ3796,CZ3883,0.4,0.44,1,126,109,126,16,,32
26,0,CA1719,CA1720,0.4,0.44,1,152,132,152,20,,33
28,0,9C8835,9C8836,0.4,0.44,1,129,112,129,17,,34
30,0,3U8737,3U8738,0.4,0.45,1,152,132,152,20,,35
31,0,EU2235,EU2236,0.4,0.45,1,153,133,153,20,,36
32,0,OQ2305,OQ2306,0.4,0.45,1,153,133,153,20,,37
33,0,HU7262,HU7261,0.4,0.45,1,126,109,126,16,,38
36,0,MF8323,MF8324,0.4,0.45,1,126,109,126,16,,39
37,0,HU7070,HU7069,0.4,0.45,3,247,214,247,32,,40
43,1,SU220,SU221,0.4,0.47,3,255,222,255,33,,41
34,0,MU2807,MU2870,0.41,0.45,1,129,112,129,17,,42
38,0,CA4319,CA4320,0.41,0.45,1,126,109,126,16,,43
40,0,ZH9990,ZH9695,0.41,0.46,1,126,109,126,16,,44
